06-23 22:52:08.842 |-INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
06-23 22:52:08.842 |-INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 7174 ms
06-23 22:52:19.811 |-INFO  c.a.t.g.b.config.DatabaseInitializer:30 - DatabaseInitializer uses flyway init-sqls to initiate database
06-23 22:52:19.816 |-INFO  com.zaxxer.hikari.HikariDataSource:110 - HikariPool-1 - Starting...
06-23 22:52:20.467 |-INFO  com.zaxxer.hikari.HikariDataSource:123 - HikariPool-1 - Start completed.
06-23 22:52:20.522 |-INFO  com.zaxxer.hikari.HikariDataSource:350 - HikariPool-1 - Shutdown initiated...
06-23 22:52:20.532 |-INFO  com.zaxxer.hikari.HikariDataSource:352 - HikariPool-1 - Shutdown completed.
06-23 22:52:20.553 |-INFO  c.a.t.g.b.config.DatabaseInitializer:53 - DatabaseInitializer initialize completed
06-23 22:52:21.276 |-INFO  o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
06-23 22:52:21.772 |-INFO  o.s.b.a.w.s.WelcomePageHandlerMapping:54 - Adding welcome page: class path resource [static/index.html]
06-23 22:52:22.738 |-INFO  o.f.c.i.license.VersionPrinter:49 - Flyway Community Edition 5.2.1 by Boxfuse
06-23 22:52:22.909 |-INFO  o.f.c.i.database.DatabaseFactory:49 - Database: jdbc:mysql://127.0.0.1:3306/aj_report (MySQL 5.7)
06-23 22:52:23.011 |-WARN  o.f.c.i.s.DefaultSqlScriptExecutor:53 - DB: Can't create database 'aj_report'; database exists (SQL State: HY000 - Error Code: 1007)
06-23 22:52:23.660 |-INFO  o.f.core.internal.command.DbValidate:49 - Successfully validated 15 migrations (execution time 00:00.511s)
06-23 22:52:23.672 |-INFO  o.f.core.internal.command.DbMigrate:49 - Current version of schema `aj_report`: 1.0.14
06-23 22:52:23.672 |-INFO  o.f.core.internal.command.DbMigrate:49 - Schema `aj_report` is up to date. No migration necessary.
06-23 22:52:23.863 |-INFO  o.s.b.a.e.web.EndpointLinksResolver:58 - Exposing 2 endpoint(s) beneath base path ''
